Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'Sunrisers',b'Daredevils',b'Sunrisers',b'4 runs',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729301.html'
b'Super Kings',b'Mum Indians',b'Super Kings',b'7 wickets',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729303.html'
b'Royals',b'RCB',b'Royals',b'6 wickets',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729305.html'
b'KKR',b'Kings XI',b'Kings XI',b'23 runs',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729307.html'
b'Daredevils',b'Mum Indians',b'Daredevils',b'6 wickets',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729309.html'
b'Sunrisers',b'Super Kings',b'Super Kings',b'5 wickets',b'Sharjah',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729311.html'
b'Kings XI',b'RCB',b'Kings XI',b'5 wickets',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729313.html'
b'KKR',b'Royals',b'tied',b'',b'Abu Dhabi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729315.html'
b'Mum Indians',b'Sunrisers',b'Sunrisers',b'15 runs',b'Dubai (DSC)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/729317.html'
b'Super Kings',b'KKR',b'Super Kings',b'34 runs',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733971.html'
b'Mum Indians',b'Kings XI',b'Mum Indians',b'5 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733973.html'
b'Daredevils',b'Royals',b'Royals',b'7 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733975.html'
b'RCB',b'Sunrisers',b'RCB',b'4 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733977.html'
b'Royals',b'KKR',b'Royals',b'10 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733979.html'
b'Daredevils',b'Super Kings',b'Super Kings',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733981.html'
b'Mum Indians',b'RCB',b'Mum Indians',b'19 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733983.html'
b'Daredevils',b'KKR',b'KKR',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733985.html'
b'Kings XI',b'Super Kings',b'Kings XI',b'44 runs',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733987.html'
b'Royals',b'Sunrisers',b'Sunrisers',b'32 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733989.html'
b'RCB',b'Kings XI',b'Kings XI',b'32 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733991.html'
b'Daredevils',b'Sunrisers',b'Sunrisers',b'8 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733993.html'
b'Mum Indians',b'Super Kings',b'Super Kings',b'4 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733995.html'
b'Kings XI',b'KKR',b'KKR',b'9 wickets',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733997.html'
b'RCB',b'Royals',b'Royals',b'5 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/733999.html'
b'Sunrisers',b'Mum Indians',b'Mum Indians',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734001.html'
b'Super Kings',b'Royals',b'Super Kings',b'5 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734003.html'
b'RCB',b'Daredevils',b'RCB',b'16 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734005.html'
b'Sunrisers',b'Kings XI',b'Kings XI',b'6 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734007.html'
b'KKR',b'Mum Indians',b'KKR',b'6 wickets',b'Cuttack',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734009.html'
b'Royals',b'Daredevils',b'Royals',b'62 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734011.html'
b'Super Kings',b'RCB',b'RCB',b'5 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734013.html'
b'Sunrisers',b'KKR',b'KKR',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734015.html'
b'Royals',b'Mum Indians',b'Mum Indians',b'25 runs',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734017.html'
b'Daredevils',b'Kings XI',b'Kings XI',b'4 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2014/engine/match/734019.html'
